VTD,PrecinctName,HD,tot14,stw14,sth14,votes_area
270010005,Aitkin,10B,778,0.560726,0.538562,0.034128
270010010,Aitkin Twp,10B,438,0.427172,0.397196,0.001241
270010015,Ball Bluff Twp,10B,142,0.621643,0.640288,0.000390
270010020,Balsam Twp,10B,20,0.598596,0.650000,0.000053
270010025,Beaver Twp,10B,37,0.842679,0.722222,0.000102
270010030,Clark Twp,10B,68,0.707560,0.676471,0.000205
270010035,Cornish Twp,10B,18,0.551099,0.533333,0.000049
270010038,Unorg 47-24 (Davidson Unorg),10B,23,0.536420,0.521739,0.000060
270010040,Farm Island Twp,10B,602,0.516927,0.464107,0.001635
270010045,Fleming Twp,10B,167,0.524628,0.466667,0.000447
270010050,Glen Twp,10B,274,0.575637,0.525926,0.000727
270010055,Haugen Twp,10B,87,0.616098,0.552941,0.000232
270010060,Hazelton Twp,10B,414,0.531376,0.509756,0.000568
270010065,Hill City,10B,192,0.596967,0.562162,0.016657
270010070,Hill Lake Twp,10B,153,0.626948,0.618421,0.000426
270010075,Idun Twp,10B,87,0.537653,0.511905,0.000227
270010080,Jevne Twp,10B,133,0.461009,0.476562,0.000360
270010082,Unorg 45-24 (Jewett Unorg),10B,14,0.587273,0.428571,0.000038
270010085,Kimberly Twp,10B,104,0.572690,0.519231,0.000273
270010090,Lakeside Twp,10B,233,0.513645,0.464912,0.000614
270010095,Lee Twp,10B,24,0.359474,0.285714,0.000065
270010100,Libby Twp P-East,10B,17,0.370588,0.352941,0.000171
270010105,Libby Twp P-West,10B,13,0.662121,0.666667,0.000048
270010110,Logan Twp,10B,93,0.578573,0.548387,0.000254
270010115,McGrath,10B,28,0.450363,0.440000,0.007326
270010120,McGregor,10B,95,0.718389,0.673913,0.004091
270010125,McGregor Twp,10B,27,0.366502,0.259259,0.000077
270010130,Macville Twp,10B,81,0.598662,0.592105,0.000215
270010132,Millward Twp,10B,25,0.592273,0.583333,0.000034
270010135,Malmo Twp,10B,166,0.631049,0.595092,0.000451
270010140,Morrison Twp,10B,74,0.441420,0.391892,0.000195
270010145,Nordland Twp,10B,564,0.540567,0.496441,0.001492
270010150,Palisade,10B,63,0.599842,0.523810,0.008654
270010155,Pliny Twp,10B,30,0.298177,0.233333,0.000080
270010160,Rice River Twp,10B,63,0.456803,0.370968,0.000170
270010165,Salo Twp,10B,48,0.649100,0.687500,0.000131
270010170,Seavey Twp,10B,34,0.345649,0.323529,0.000091
270010175,Shamrock Twp,10B,585,0.553187,0.544041,0.001593
